name,review_text_compound
ALDI,0.3818
ALDI,0.9468
ALDI,-0.4215
ALDI,-0.6497
ALDI,0.4019
ALDI,0.8126
ALDI,0.8316
ALDI,0.9716
ALDI,0.2023
ALDI,0.9083
ALDI,0.4215
ALDI,0.8176
ALDI,0.6369
ALDI,0.5574
ALDI,-0.4039
ALDI,0.0258
ALDI,0.8074
ALDI,0.0
ALDI,0.0772
ALDI,0.6597
ALDI,0.0
ALDI,0.8885
ALDI,0.8402
ALDI,0.8479
ALDI,-0.0971
ALDI,0.9207
ALDI,0.8519
ALDI,0.5106
ALDI,0.4082
ALDI,0.6486
ALDI,0.0772
ALDI,0.6318
ALDI,0.7003
ALDI,-0.2263
ALDI,0.4404
ALDI,0.8074
ALDI,-0.2023
ALDI,0.4404
ALDI,0.5106
ALDI,0.946
ALDI,0.0
ALDI,0.8957
ALDI,0.8807
ALDI,0.8176
ALDI,0.6705
ALDI,0.8519
ALDI,0.6249
ALDI,0.6369
ALDI,0.5267
ALDI,0.4939
ALDI,0.6249
ALDI,0.8674
ALDI,0.6249
ALDI,0.8316
ALDI,0.9035
ALDI,0.4404
ALDI,0.4404
ALDI,-0.0056
ALDI,0.4404
ALDI,0.8979
ALDI,0.0
ALDI,0.9201
ALDI,0.6697
ALDI,0.9001
ALDI,0.4215
ALDI,0.0
ALDI,0.7096
ALDI,0.4767
ALDI,0.9246
ALDI,-0.7184
ALDI,0.4404
ALDI,0.9231
ALDI,0.4939
ALDI,0.7845
ALDI,0.9042
ALDI,0.7003
ALDI,0.8225
ALDI,0.0
ALDI,0.8779
ALDI,0.8979
ALDI,0.6808
ALDI,-0.25
ALDI,-0.7579
ALDI,0.7506
ALDI,0.7351
ALDI,0.7845
ALDI,0.6249
ALDI,0.0
ALDI,0.7906
ALDI,0.4404
ALDI,0.3182
ALDI,0.7741
ALDI,0.8519
ALDI,0.9042
ALDI,0.6249
ALDI,0.4404
ALDI,0.4404
ALDI,0.7579
ALDI,0.25
ALDI,0.8555
ALDI,0.0
ALDI,0.0
ALDI,0.8555
ALDI,0.8779
ALDI,0.802
ALDI,0.4215
ALDI,0.5106
ALDI,0.4404
ALDI,0.7783
ALDI,0.4404
ALDI,0.4404
ALDI,0.0
ALDI,0.4404
ALDI,0.7506
ALDI,0.4754
ALDI,0.5423
ALDI,0.4404
ALDI,0.8834
ALDI,0.7351
ALDI,0.8442
ALDI,0.4404
ALDI,0.4939
ALDI,0.3182
ALDI,0.6369
ALDI,0.4404
ALDI,0.296
ALDI,0.4404
ALDI,0.6249
ALDI,0.9062
ALDI,0.8591
ALDI,0.7184
ALDI,0.7269
ALDI,0.3612
ALDI,-0.2023
ALDI,0.6908
ALDI,0.6369
ALDI,0.6369
ALDI,0.6486
ALDI,-0.836
ALDI,0.0
ALDI,0.7758
ALDI,0.4404
ALDI,0.6249
ALDI,0.7351
ALDI,0.3612
ALDI,-0.4767
ALDI,0.3612
ALDI,0.4404
ALDI,0.6705
ALDI,-0.7351
ALDI,0.6249
ALDI,0.8225
ALDI,0.6369
ALDI,0.4404
ALDI,0.8885
ALDI,0.4939
ALDI,0.4215
ALDI,0.4404
ALDI,0.6369
ALDI,0.0
ALDI,0.1779
ALDI,0.6908
ALDI,0.5423
ALDI,0.8176
ALDI,0.9313
ALDI,0.8442
ALDI,0.6369
ALDI,0.7579
ALDI,0.4404
ALDI,0.91
ALDI,-0.7976
ALDI,-0.3182
ALDI,0.6597
ALDI,0.2732
ALDI,-0.6705
ALDI,0.7906
ALDI,0.3818
ALDI,0.8481
ALDI,0.34
ALDI,0.0
ALDI,0.5574
ALDI,0.802
ALDI,0.743
ALDI,0.5994
ALDI,0.7906
ALDI,0.9595
ALDI,0.8839
ALDI,0.8225
ALDI,-0.9001
ALDI,0.4404
ALDI,0.9545
ALDI,0.9387
ALDI,-0.0516
ALDI,0.8
ALDI,-0.2023
ALDI,0.4767
ALDI,0.7096
ALDI,0.7351
ALDI,0.891
ALDI,0.4019
ALDI,0.8893
ALDI,0.4588
ALDI,0.1531
ALDI,-0.2716
ALDI,-0.4144
ALDI,0.4404
ALDI,-0.8774
ALDI,0.4939
ALDI,0.34
ALDI,0.2023
ALDI,0.5719
ALDI,0.9136
ALDI,-0.5423
ALDI,0.0
ALDI,-0.7269
ALDI,-0.6808
ALDI,0.8625
ALDI,0.6249
ALDI,0.4404
ALDI,0.3252
ALDI,0.6369
ALDI,0.25
ALDI,0.7845
ALDI,-0.296
ALDI,0.4019
ALDI,-0.6249
ALDI,0.6249
ALDI,0.296
ALDI,0.6369
ALDI,0.4404
ALDI,-0.0516
ALDI,0.8555
ALDI,0.0
ALDI,0.9287
ALDI,0.3182
ALDI,0.8885
ALDI,0.8885
ALDI,0.4215
ALDI,0.0
ALDI,0.0772
ALDI,0.6249
ALDI,0.765
ALDI,0.0
ALDI,0.4404
ALDI,0.8126
ALDI,0.4215
ALDI,0.8519
ALDI,0.7717
ALDI,0.5267
ALDI,0.0
ALDI,0.6249
ALDI,0.296
ALDI,0.0
ALDI,0.4215
ALDI,0.0
ALDI,0.0
ALDI,0.6249
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.6369
ALDI,0.0
ALDI,0.6369
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.4391
ALDI,0.7778
ALDI,-0.3612
ALDI,0.5267
ALDI,0.6124
ALDI,0.4939
ALDI,-0.34
ALDI,-0.6946
ALDI,0.7266
ALDI,-0.8402
ALDI,0.7506
ALDI,0.6597
ALDI,0.7817
ALDI,0.9081
ALDI,0.0
ALDI,0.9485
ALDI,0.3798
ALDI,0.5719
ALDI,0.5574
ALDI,0.4404
ALDI,0.6808
ALDI,0.6249
ALDI,0.6369
ALDI,-0.9048
ALDI,0.959
ALDI,0.4939
ALDI,0.9413
ALDI,0.3182
ALDI,0.2135
ALDI,0.8834
ALDI,0.9501
ALDI,0.6486
ALDI,0.7906
ALDI,0.5747
ALDI,0.7322
ALDI,0.743
ALDI,-0.732
ALDI,0.9136
ALDI,0.9152
ALDI,0.6808
ALDI,0.3182
ALDI,0.9623
ALDI,-0.2263
ALDI,0.6369
ALDI,0.7003
ALDI,0.7351
ALDI,0.0
ALDI,0.8402
ALDI,0.8225
ALDI,0.9509
ALDI,0.7579
ALDI,-0.9599
ALDI,0.6369
ALDI,0.0
ALDI,0.7845
ALDI,-0.5897
ALDI,0.6808
ALDI,0.9662
ALDI,0.7096
ALDI,0.8934
ALDI,0.6369
ALDI,0.4019
ALDI,0.3818
ALDI,0.9468
ALDI,0.4404
ALDI,0.5423
ALDI,-0.7579
ALDI,0.6705
ALDI,0.7003
ALDI,0.8885
ALDI,0.9549
ALDI,-0.5423
ALDI,0.4404
ALDI,0.5994
ALDI,0.8519
ALDI,0.9477
ALDI,0.3477
ALDI,0.7918
ALDI,0.3182
ALDI,0.4404
ALDI,0.8806
ALDI,0.9231
ALDI,-0.4344
ALDI,0.4404
ALDI,0.1027
ALDI,0.4404
ALDI,0.7906
ALDI,-0.2755
ALDI,0.7845
ALDI,0.7269
ALDI,-0.9451
ALDI,0.6369
ALDI,0.0
ALDI,-0.4215
ALDI,0.7184
ALDI,0.0
ALDI,-0.1027
ALDI,0.6249
ALDI,0.875
ALDI,0.0
ALDI,0.8442
ALDI,0.7115
ALDI,0.6124
ALDI,0.8316
ALDI,0.6249
ALDI,0.8979
ALDI,0.7096
ALDI,0.9607
ALDI,0.7845
ALDI,0.765
ALDI,0.802
ALDI,-0.2732
ALDI,0.8979
ALDI,0.34
ALDI,0.9042
ALDI,0.4404
ALDI,0.5859
